Date,Open,High,Low,Close,Adj Close,Volume
2020-06-29,735.400024,744.700012,730.099976,731.750000,723.972656,8954428
2020-06-30,732.799988,738.950012,724.250000,735.950012,728.128052,10411290
2020-07-01,737.250000,742.299988,729.750000,731.900024,724.121094,5477468
2020-07-02,737.349976,765.450012,735.400024,756.599976,748.558533,17263756
2020-07-03,755.000000,764.000000,752.500000,762.700012,754.593750,7796572
2020-07-06,765.200012,775.000000,761.500000,764.000000,755.879883,8810958
2020-07-07,769.400024,796.950012,765.549988,794.150024,785.709473,19362533
2020-07-08,784.900024,784.900024,772.200012,774.700012,766.466187,8476642
2020-07-09,780.000000,790.000000,775.000000,781.700012,773.391785,6854166
2020-07-10,773.500000,789.900024,773.500000,781.849976,773.540161,5206452
2020-07-13,788.000000,805.349976,786.049988,797.049988,788.578613,10804688
2020-07-14,792.950012,806.400024,781.349976,783.250000,774.925293,8961822
2020-07-15,799.000000,848.450012,794.799988,830.950012,822.118347,30060599
2020-07-16,900.099976,955.500000,894.250000,911.000000,901.317505,90432109
2020-07-17,911.000000,919.900024,892.150024,903.150024,893.550964,31682878
2020-07-20,908.500000,945.000000,906.750000,934.299988,924.369873,18421053
2020-07-21,945.000000,949.700012,929.200012,936.750000,926.793823,12877784
2020-07-22,938.950012,939.000000,910.000000,917.900024,908.144226,14354201
2020-07-23,915.650024,915.799988,900.650024,907.950012,898.299927,13051307
2020-07-24,903.250000,925.750000,903.250000,922.849976,913.041565,18209580
2020-07-27,921.549988,952.799988,918.650024,948.450012,938.369507,16827870
2020-07-28,946.000000,967.549988,941.200012,962.849976,952.616394,15818463
2020-07-29,953.250000,960.000000,943.599976,954.150024,944.008911,11152710
2020-07-30,962.000000,972.650024,958.750000,961.450012,951.231323,12492320
2020-07-31,969.250000,986.450012,953.299988,966.000000,955.732971,12704346
2020-08-03,960.000000,965.400024,947.450012,956.900024,946.729736,8479792
2020-08-04,960.450012,970.700012,940.549988,949.849976,939.754578,11133170
2020-08-05,952.000000,960.950012,938.299988,944.700012,934.659363,9614176
2020-08-06,953.500000,974.400024,942.500000,970.849976,960.531372,10976491
2020-08-07,969.450012,969.450012,949.000000,950.900024,940.793457,8010948
2020-08-10,948.900024,956.799988,945.299988,951.349976,941.238647,5716319
2020-08-11,949.900024,962.000000,946.099976,948.450012,938.369507,6802442
2020-08-12,948.000000,958.799988,942.200012,954.950012,944.800415,6908726
2020-08-13,954.799988,968.500000,948.250000,951.200012,941.090271,5097703
2020-08-14,955.849976,963.000000,952.049988,953.599976,943.464722,4663873
2020-08-17,954.099976,972.450012,954.099976,957.500000,947.323303,9008210
2020-08-18,963.900024,969.200012,958.700012,967.549988,957.266479,6141761
2020-08-19,970.900024,971.549988,957.450012,959.299988,949.104187,6622744
2020-08-20,958.900024,965.500000,951.299988,955.150024,944.998291,5656501
2020-08-21,963.049988,963.450012,946.549988,948.799988,938.715759,6513773
2020-08-24,947.000000,952.000000,939.200012,947.400024,937.330688,5798574
2020-08-25,947.500000,948.650024,933.599976,938.099976,928.129456,6233918
2020-08-26,941.250000,954.250000,938.400024,950.799988,940.694519,5153601
2020-08-27,960.000000,960.950012,945.200012,947.049988,936.984375,6154280
2020-08-28,951.450012,952.500000,933.049988,935.250000,925.309814,7593610
2020-08-31,935.250000,950.500000,914.599976,928.599976,918.730469,12808355
2020-09-01,926.250000,935.000000,912.099976,914.150024,904.434082,6907773
2020-09-02,915.000000,926.400024,913.500000,924.000000,914.179382,5678118
2020-09-03,926.500000,949.400024,924.000000,935.549988,925.606567,8827948
2020-09-04,915.000000,929.500000,914.450012,919.150024,909.380920,8650342
2020-09-07,918.900024,927.549988,913.049988,925.049988,915.218201,6700385
2020-09-08,929.950012,952.000000,925.549988,939.299988,929.316711,12891964
2020-09-09,935.000000,946.000000,926.000000,927.750000,917.889526,5528947
2020-09-10,935.299988,942.000000,924.799988,940.049988,930.058777,5171884
2020-09-11,934.900024,954.150024,931.000000,945.700012,935.648743,6671903
2020-09-14,957.000000,991.049988,948.299988,978.400024,968.001221,21871587
2020-09-15,979.500000,994.000000,971.650024,982.450012,972.008118,11608203
2020-09-16,986.000000,1005.650024,982.000000,1001.750000,991.103027,10059251
2020-09-17,995.000000,1021.000000,995.000000,1011.000000,1000.254700,15628241
2020-09-18,1011.000000,1018.799988,999.099976,1002.150024,991.498779,12897633
2020-09-21,1001.000000,1031.000000,1000.500000,1009.900024,999.166382,14140637
2020-09-22,1009.000000,1022.500000,991.200012,1007.500000,996.791870,12625762
